file_id.serial_number,file_id.time_created,file_id.manufacturer,file_id.garmin_product,file_id.number,file_id.type,device_info.timestamp[s],device_info.serial_number,device_info.manufacturer,device_info.garmin_product,device_info.software_version,software.version,unknown.unknown,monitoring_info.timestamp[s],monitoring_info.local_timestamp[s],monitoring_info.cycles_to_distance[m/cycle],monitoring_info.cycles_to_calories[kcal/cycle],monitoring_info.unknown,monitoring_info.resting_metabolic_rate[kcal / day],monitoring_info.activity_type,monitoring.timestamp[s],monitoring.distance[m],monitoring.cycles[cycles],monitoring.active_time[s],monitoring.active_calories[kcal],monitoring.duration_min[min],monitoring.activity_type,monitoring.steps[steps],monitoring.unknown,monitoring_hr_data.timestamp[s],monitoring_hr_data.resting_heart_rate[bpm],monitoring_hr_data.current_day_resting_heart_rate[bpm],ohr_settings.timestamp[s],ohr_settings.enabled,event.timestamp[s],event.data16,event.event,event.event_type,event.data,monitoring.timestamp_16[s],monitoring.heart_rate[bpm],stress_level.stress_level_time[s],stress_level.stress_level_value,stress_level.unknown,respiration_rate.timestamp,respiration_rate.respiration_rate[breaths/min],monitoring.current_activity_type_intensity,monitoring.intensity,event.auto_activity_detect_start_timestamp[s],event.activity_type,event.auto_activity_detect_duration[min],monitoring.moderate_activity_minutes[minutes],monitoring.vigorous_activity_minutes[minutes],
"3517294351","1131316920","1","3869","13","32",,,
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","200",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","200","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","226|134|110|67|0|2|0|51|179|0|0|102|102|1|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","226|134|110|67|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","226|134|110|67|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","0.0","0.0","1485.0","66","1062","0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","226|134|110|67|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","2372.7","0.0","4638.0","195","1062","6","2897",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","226|134|110|67|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","226|134|110|67|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","226|134|110|67|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","226|134|110|67|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","226|134|110|67|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","229|134|110|67|3|0|126|11|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","229|134|110|67|3|3|111|180|3|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","229|134|110|67|3|4|95|7|0|0|254|255|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","229|134|110|67|3|5|8|1|0|0|254|255|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","229|134|110|67|3|6|87|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","229|134|110|67|3|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","229|134|110|67|3|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","229|134|110|67|3|11|28|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","26|168|140|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","26|168|140|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34548","115",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","16|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34548","115",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","16|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34548","115","1131317040","-2","1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","16|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34548","115","1131317040","-2","1","1131317040","-1.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","16|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34608","133","1131317040","-2","1","1131317040","-1.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","46|112|172|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","69.0","1","1062","1","45","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34608","133","1131317040","-2","1","1131317040","-1.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","46|112|172|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","4716.0","205","1062","6","3056","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34608","133","1131317040","-2","1","1131317040","-1.0","102","3.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","46|112|172|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","4716.0","205","1062","6","3056","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34608","133","1131317100","-2","1","1131317040","-1.0","102","3.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","46|112|172|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","4716.0","205","1062","6","3056","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34608","133","1131317100","-2","1","1131317100","-1.0","102","3.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","46|112|172|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","4716.0","205","1062","6","3056","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34668","129","1131317100","-2","1","1131317100","-1.0","102","3.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","46|112|172|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","129.0","6","1062","1","197","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34668","129","1131317100","-2","1","1131317100","-1.0","129","4.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","34|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","129.0","6","1062","1","197","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34668","129","1131317100","-2","1","1131317100","-1.0","129","4.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","34|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","129.0","6","1062","1","197","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34668","129","1131317160","-2","1","1131317100","-1.0","129","4.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","34|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","129.0","6","1062","1","197","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34668","129","1131317160","-2","1","1131317160","-1.0","129","4.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","34|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","129.0","6","1062","1","197","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34728","137","1131317160","-2","1","1131317160","-1.0","129","4.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","34|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34728","137","1131317160","-2","1","1131317160","-1.0","129","4.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","254|0|0|192","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","0","1131316920","67","63","1131316920","1","1131316962","200","78","3","200","34728","137","1131317160","-2","1","1131317160","-1.0","129","4.0",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","254|0|0|192","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","0","1131316920","67","63","1131316920","1","1131317220","11","54","3","200","34728","137","1131317160","-2","1","1131317160","-1.0","129","4.0","1131315660","6","11",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","254|0|0|192","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","0","1131316920","67","63","1131316920","1","1131317220","11","54","3","200","34728","137","1131317220","-2","1","1131317160","-1.0","129","4.0","1131315660","6","11",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","254|0|0|192","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","0","1131316920","67","63","1131316920","1","1131317220","11","54","3","200","34728","137","1131317220","-2","1","1131317220","-1.0","129","4.0","1131315660","6","11",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","254|0|0|192","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","0","1131316920","67","63","1131316920","1","1131317220","11","54","3","200","34788","142","1131317220","-2","1","1131317220","-1.0","129","4.0","1131315660","6","11",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","254|0|0|192","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","1","1131316920","67","63","1131316920","1","1131317220","11","54","3","200","34788","142","1131317220","-2","1","1131317220","-1.0","129","4.0","1131315660","6","11","3","1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","48|152|240|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","1","1131316920","67","63","1131316920","1","1131317220","11","54","3","200","34788","142","1131317220","-2","1","1131317220","-1.0","129","4.0","1131315660","6","11","3","1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","48|152|240|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","1","1131316920","67","63","1131316920","1","1131317280","1","54","3","200","34788","142","1131317220","-2","1","1131317220","-1.0","129","4.0","1131316320","0","1","3","1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","48|152|240|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","1","1131316920","67","63","1131316920","1","1131317280","1","54","3","200","34788","142","1131317280","-2","1","1131317220","-1.0","129","4.0","1131316320","0","1","3","1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","48|152|240|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","1","1131316920","67","63","1131316920","1","1131317280","1","54","3","200","34788","142","1131317280","-2","1","1131317280","-1.0","129","4.0","1131316320","0","1","3","1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","48|152|240|185","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","1","1131316920","67","63","1131316920","1","1131317280","1","54","3","200","34848","159","1131317280","-2","1","1131317280","-1.0","129","4.0","1131316320","0","1","3","1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","16|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","1","1131316920","67","63","1131316920","1","1131317280","1","54","3","200","34848","159","1131317280","-2","1","1131317280","-1.0","129","4.0","1131316320","0","1","3","1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","16|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","1","1131316920","67","63","1131316920","1","1131317280","1","54","3","200","34848","159","1131317340","-2","1","1131317280","-1.0","129","4.0","1131316320","0","1","3","1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","16|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","1","1131316920","67","63","1131316920","1","1131317280","1","54","3","200","34848","159","1131317340","-2","1","1131317340","-1.0","129","4.0","1131316320","0","1","3","1",
"3517294351","1131316920","1","3869","13","32","1131316920","3517294351","1","3869","11.03","6.0","16|0|0|248","1131316920","1131298920","1.638|2.457","0.053|0.1672","9400|9400","2202","6|1","1131316920","55.29","0.0","189.0","14","1062","1","353","1","1131316920","67","63","1131316920","1","1131317280","1","54","3","200","34908","164","1131317340","-2","1","1131317340","-1.0","129","4.0","1131316320","0","1","3","1",
