date,bedtime,waketime
Dec 8,00:51,06:25
Dec 7,00:34,06:29
Dec 6,05:21,09:47
Dec 5,00:42,07:22
Dec 4,01:13,07:27
Dec 3,02:04,07:45
Dec 2,03:18,08:01
Dec 1,03:26,10:57
Nov 30,01:24,06:58
Nov 29,04:50,12:33
Nov 28,04:20,10:11
Nov 27,04:27,07:36
Nov 26,01:18,09:25
Nov 25,04:37,07:59
Nov 24,01:40,11:31
Nov 23,04:17,05:20
Nov 22,04:36,11:59
Nov 21,03:38,10:32
Nov 20,02:45,09:55
Nov 19,03:20,10:53
Nov 18,02:30,07:26
Nov 17,02:40,10:56
Nov 16,02:02,07:42
Nov 15,03:01,09:05
Nov 14,03:08,08:55
Nov 13,04:45,11:44
Nov 12,02:26,12:41
Nov 11,04:53,09:04
Nov 10,04:14,08:51
Nov 9,02:02,07:42
Nov 8,04:20,08:02
Nov 7,03:57,10:39
Nov 6,02:04,10:32
Nov 5,03:11,09:36