datetime,steps,calories,active_minutes,activity_intensity_avg
2025-11-18T05:00:00.000Z,2.0178697886277366e-43,0,0,58
2025-11-18T06:00:00.000Z,1.601684144723266e-42,20,0,93
2025-11-18T07:00:00.000Z,3.046422861442152e-42,57,0,84
2025-11-18T08:00:00.000Z,5.78035616533987e-42,121,0,83
2025-11-18T09:00:00.000Z,0,0,0,51
2025-11-18T10:00:00.000Z,0,0,0,67
2025-11-18T11:00:00.000Z,0,0,0,66
2025-11-18T12:00:00.000Z,3.839557792249999e-42,108,0,103
2025-11-18T13:00:00.000Z,1.1847978515866328e-41,386,0,86
2025-11-18T14:00:00.000Z,1.3696291190310762e-41,409,0,85
2025-11-18T15:00:00.000Z,2.1927518369754738e-41,706,0,80
2025-11-18T16:00:00.000Z,1.6166780382915415e-41,527,0,78
2025-11-18T17:00:00.000Z,2.0216532944814136e-41,716,0,98
2025-11-18T18:00:00.000Z,1.5823462259155834e-41,498,0,80
2025-11-18T19:00:00.000Z,4.781650749815573e-41,1635,0,94
2025-11-18T20:00:00.000Z,3.227891012572216e-41,1063,0,73
2025-11-18T21:00:00.000Z,6.482967215352334e-41,2312,0,73
2025-11-18T22:00:00.000Z,3.4889529164759295e-41,2097,0,85
2025-11-18T23:00:00.000Z,8.925150178977625e-41,3837,0,67
2025-11-19T00:00:00.000Z,1.0761832076168163e-40,4572,0,88
2025-11-19T01:00:00.000Z,1.586438017431412e-40,6513,0,109
2025-11-19T02:00:00.000Z,8.370516246797862e-41,2810,0,89
2025-11-19T03:00:00.000Z,1.4461400151832112e-41,454,0,74
2025-11-19T04:00:00.000Z,8.747185274008373e-41,2872,0,88
2025-11-19T05:00:00.000Z,1.4727646860053827e-41,596,0,104